loci	Harmonic_N	H_st_est	D_st_est	G_st_est	G_hed_st_est	D_Jost_est	Fst_WC	Fit_WC	
Locus546	11.1314	-0.0587	-0.0189	-0.0287	-0.0977	-0.0671	-0.0092	-0.5062	
Locus547	11.1314	-0.0226	-0.0093	-0.0161	-0.0423	-0.0258	0.0168	-0.7227	
Locus548	11.1314	-0.0265	-0.0118	-0.0218	-0.0527	-0.0303	0.0102	-0.7215	
Locus549	11.1314	0.002	7e-04	0.0011	0.0033	0.0022	0.0291	-0.5547	
Locus550	11.1314	-0.0096	-0.0033	-0.005	-0.0161	-0.011	0.0199	-0.4959	
Locus551	11.1314	-0.0337	-0.0153	-0.0289	-0.0684	-0.0385	0.0055	-0.8034	
Locus552	11.1314	-0.0136	-0.0048	-0.0075	-0.0231	-0.0155	0.0181	-0.5601	
Locus553	11.1314	0.0194	0.0071	0.0111	0.033	0.0221	0.0358	-0.4972	
Locus554	11.1314	-0.0144	-0.0054	-0.0087	-0.0253	-0.0165	0.0159	-0.5363	
Locus555	11.1314	-0.0065	-0.0023	-0.0036	-0.0111	-0.0075	0.023	-0.513	
Locus556	11.1314	-0.012	-0.004	-0.006	-0.0198	-0.0137	0.0125	-0.496	
Locus557	11.1314	-0.0079	-0.0027	-0.0041	-0.0132	-0.0091	0.0169	-0.489	
Locus558	11.1314	-0.0482	-0.0166	-0.026	-0.0825	-0.0551	-0.0032	-0.5709	
Locus559	11.1314	-0.0279	-0.0111	-0.0188	-0.0512	-0.0318	0.0051	-0.5909	
Locus560	11.1314	-0.0406	-0.0136	-0.0209	-0.0683	-0.0464	-0.0018	-0.5014	
Locus561	11.1314	-0.0242	-0.0105	-0.0189	-0.0471	-0.0277	0.0149	-0.7953	
Locus562	11.1314	-0.0347	-0.0153	-0.0281	-0.0689	-0.0397	0.0045	-0.775	
Locus563	11.1314	-0.0335	-0.0108	-0.0162	-0.0551	-0.0382	0.0059	-0.5036	
Locus564	11.1314	-0.0446	-0.0166	-0.0272	-0.0795	-0.051	-0.002	-0.6482	
Locus565	11.1314	-0.0348	-0.0156	-0.0291	-0.07	-0.0397	0.0022	-0.7522	
Locus566	11.1314	-0.0495	-0.0158	-0.0237	-0.0817	-0.0566	-0.003	-0.5081	
Locus567	11.1314	-0.0301	-0.0128	-0.0228	-0.058	-0.0345	0.0096	-0.7375	
Locus568	11.1314	-0.0226	-0.0088	-0.0146	-0.0408	-0.0258	0.0108	-0.5878	
Locus569	11.1314	-0.0158	-0.0055	-0.0085	-0.0268	-0.0181	0.0128	-0.4787	
Locus570	11.1314	-0.0398	-0.0145	-0.0233	-0.0699	-0.0455	0.0028	-0.6123	
Locus571	11.1314	-0.0646	-0.0217	-0.0338	-0.1101	-0.0738	-0.0141	-0.5318	
Locus572	11.1314	-0.0392	-0.0129	-0.0196	-0.0653	-0.0448	4e-04	-0.4732	
Locus573	11.1314	-0.0361	-0.0162	-0.0303	-0.0728	-0.0413	0.0027	-0.7884	
Locus574	11.1314	-0.0351	-0.016	-0.0303	-0.0716	-0.0401	0.0011	-0.7507	
Locus575	11.1314	-0.0447	-0.0193	-0.0352	-0.088	-0.051	-0.0019	-0.8134	
Locus576	11.1314	-0.0379	-0.0127	-0.0195	-0.0636	-0.0433	0.0033	-0.5349	
Locus577	11.1314	-0.0358	-0.0158	-0.0291	-0.0712	-0.041	0.0024	-0.758	
Locus578	11.1314	-0.0267	-0.0093	-0.0145	-0.0454	-0.0305	0.0085	-0.5406	
Locus579	11.1314	-0.0423	-0.0177	-0.0314	-0.0813	-0.0484	2e-04	-0.7754	
Locus580	11.1314	-0.0329	-0.0149	-0.028	-0.0666	-0.0376	-2e-04	-0.6905	
Locus581	11.1314	-0.0272	-0.0099	-0.0158	-0.0474	-0.031	0.0072	-0.5104	
Locus582	11.1314	-0.0278	-0.0104	-0.0169	-0.0492	-0.0317	0.0065	-0.5358	
Locus583	11.1314	-0.0452	-0.0189	-0.0336	-0.0869	-0.0516	-0.0015	-0.7889	
Locus584	11.1314	0.0127	0.0047	0.0074	0.0218	0.0145	0.0318	-0.4802	
Locus585	11.1314	-0.0355	-0.0154	-0.028	-0.0696	-0.0405	NA	-0.6831	
Locus586	11.1314	-0.0487	-0.0173	-0.0276	-0.0848	-0.0557	-0.0047	-0.5641	
Locus587	11.1314	-0.0333	-0.0151	-0.0284	-0.0675	-0.038	0.002	-0.719	
Locus588	11.1314	-0.0121	-0.004	-0.006	-0.0199	-0.0138	0.019	-0.5065	
Locus589	11.1314	-0.0184	-0.0067	-0.0106	-0.0319	-0.021	0.0106	-0.4534	
Locus590	11.1314	-0.0119	-0.005	-0.0087	-0.0224	-0.0136	0.0187	-0.5971	
Locus591	11.1314	-0.0421	-0.015	-0.0239	-0.0731	-0.0481	4e-04	-0.5954	
Locus592	11.1314	-0.0296	-0.0104	-0.0163	-0.0507	-0.0339	0.0074	-0.5653	
Locus593	11.1314	-0.0313	-0.0119	-0.0196	-0.056	-0.0358	0.0083	-0.6299	
Locus594	11.1314	-0.0572	-0.0194	-0.0302	-0.0976	-0.0654	-0.0113	-0.5137	
Locus595	11.1314	-0.0211	-0.0086	-0.0147	-0.0392	-0.0242	0.0096	-0.5398	
Locus596	11.1314	-0.0392	-0.0129	-0.0196	-0.0653	-0.0448	0.0032	-0.5235	
Locus597	11.1314	-0.059	-0.0211	-0.034	-0.1036	-0.0674	-0.0101	-0.6206	
Locus598	11.1314	-0.0395	-0.0153	-0.0256	-0.0719	-0.0451	0.0018	-0.6791	
Locus599	11.1314	-0.0443	-0.0156	-0.0247	-0.0766	-0.0507	-0.0015	-0.5691	
Locus600	11.1314	-0.0479	-0.0194	-0.0337	-0.0903	-0.0547	-0.0054	-0.7059	
Locus601	11.1314	-0.0333	-0.0134	-0.023	-0.0618	-0.038	0.007	-0.7247	
Locus602	11.1314	-0.0224	-0.0096	-0.0171	-0.0431	-0.0256	0.0097	-0.6183	
Locus603	11.1314	-0.051	-0.0176	-0.0276	-0.0875	-0.0583	-0.0061	-0.5765	
Locus604	11.1314	-0.0432	-0.0188	-0.0344	-0.0855	-0.0493	-4e-04	-0.8267	
Locus605	11.1314	-0.0354	-0.0142	-0.0243	-0.0657	-0.0405	0.0069	-0.7118	
Locus606	11.1314	-0.0211	-0.0086	-0.0147	-0.0392	-0.0241	0.0096	-0.5687	
Locus607	11.1314	0.0161	0.0055	0.0083	0.0266	0.0184	0.0332	-0.5028	
Locus608	11.1314	-0.0469	-0.0183	-0.0309	-0.0862	-0.0536	-0.0059	-0.6364	
Locus609	11.1314	-0.0368	-0.0129	-0.0203	-0.0631	-0.042	-0.0015	-0.4852	
Locus610	11.1314	-0.0377	-0.0144	-0.0239	-0.068	-0.0431	0.0053	-0.6648	
Locus611	11.1314	-0.0393	-0.0138	-0.0217	-0.0676	-0.0449	-0.0019	-0.493	
Locus612	11.1314	-0.0382	-0.015	-0.0253	-0.0701	-0.0437	-0.001	-0.6057	
Locus613	11.1314	-0.0267	-0.0113	-0.02	-0.0511	-0.0305	0.0088	-0.6626	
Locus614	11.1314	-0.0432	-0.0182	-0.0325	-0.0834	-0.0494	-6e-04	-0.7694	
Locus615	11.1314	-0.0135	-0.0056	-0.0097	-0.0252	-0.0154	0.0173	-0.5995	
Locus616	11.1314	-0.0389	-0.0143	-0.0231	-0.0686	-0.0444	0.0025	-0.6248	
Locus617	11.1314	-0.0303	-0.0125	-0.0217	-0.0571	-0.0346	0.0068	-0.7035	
Locus618	11.1314	0.0541	0.0231	0.0388	0.0982	0.0618	0.0761	-0.6441	
Locus619	11.1314	-0.0184	-0.0066	-0.0104	-0.0316	-0.021	0.0137	-0.5209	
Locus620	11.1314	-0.0443	-0.0181	-0.0315	-0.0838	-0.0507	-0.0016	-0.7403	
Locus621	11.1314	-0.0336	-0.0146	-0.0265	-0.0659	-0.0383	0.0087	-0.8147	
Locus622	11.1314	-0.034	-0.0149	-0.0272	-0.0672	-0.0389	0.005	-0.7567	
Locus623	11.1314	-0.0364	-0.0166	-0.0315	-0.0744	-0.0416	-0.0015	-0.734	
Locus624	11.1314	-0.0255	-0.0095	-0.0154	-0.0449	-0.0291	0.0107	-0.6257	
Locus625	11.1314	-0.0487	-0.0186	-0.031	-0.0884	-0.0556	-0.0053	-0.6383	
Locus626	11.1314	-0.0133	-0.0055	-0.0095	-0.0248	-0.0152	0.0198	-0.5928	
Locus627	11.1314	-0.0168	-0.0069	-0.0118	-0.0313	-0.0193	0.0175	-0.6187	
Locus628	11.1314	-0.0276	-0.0092	-0.014	-0.046	-0.0315	0.009	-0.5238	
Locus629	11.1314	0.0112	0.0039	0.006	0.0186	0.0127	0.0362	-0.5293	
Locus630	11.1314	-0.0431	-0.0155	-0.0248	-0.0753	-0.0493	-8e-04	-0.6097	
Locus631	11.1314	-0.0443	-0.0172	-0.0289	-0.081	-0.0506	2e-04	-0.6868	
Locus632	11.1314	-0.0388	-0.0177	-0.0337	-0.0795	-0.0443	3e-04	-0.8204	
Locus633	11.1314	-0.0407	-0.0179	-0.033	-0.081	-0.0465	0.0012	-0.827	
Locus634	11.1314	-0.0461	-0.0161	-0.0254	-0.0794	-0.0527	-0.0044	-0.5304	
Locus635	11.1314	0.0223	0.0084	0.0133	0.0384	0.0254	0.0367	-0.4206	
Locus636	11.1314	-0.0304	-0.0114	-0.0186	-0.054	-0.0348	0.0081	-0.5922	
Locus637	11.1314	-0.0218	-0.0088	-0.015	-0.0403	-0.0249	0.0079	-0.5327	
Locus638	11.1314	-0.0474	-0.0163	-0.0255	-0.081	-0.0542	-0.0037	-0.5346	
Locus639	11.1314	-0.0526	-0.0178	-0.0276	-0.0895	-0.0602	-0.0104	-0.4533	
Locus640	11.1314	-0.0414	-0.0185	-0.0346	-0.0836	-0.0473	-0.0035	-0.7707	
Locus641	11.1314	-0.0461	-0.0159	-0.0249	-0.0789	-0.0527	-0.0041	-0.5169	
Locus642	11.1314	-0.0511	-0.0178	-0.0281	-0.0882	-0.0584	-0.0056	-0.5655	
Locus643	11.1314	-0.0486	-0.0159	-0.0242	-0.0811	-0.0556	-0.0045	-0.4937	
Locus644	11.1314	-0.026	-0.0106	-0.0182	-0.0484	-0.0297	0.0104	-0.6463	
Locus645	11.1314	-0.0413	-0.0148	-0.0236	-0.0719	-0.0472	-0.0039	-0.4984	
Locus646	11.1314	-0.0368	-0.0164	-0.0305	-0.0738	-0.042	0.0033	-0.8063	
Locus647	11.1314	-0.0383	-0.0125	-0.0189	-0.0635	-0.0437	0.0019	-0.4851	
Locus648	11.1314	-0.0419	-0.0183	-0.0336	-0.0831	-0.0479	0.001	-0.8469	
Locus649	11.1314	-0.0105	-0.0039	-0.0062	-0.0183	-0.012	0.0204	-0.5527	
Locus650	11.1314	-0.0118	-0.004	-0.0061	-0.0196	-0.0134	0.0162	-0.4971	
Locus651	11.1314	-0.0198	-0.0073	-0.0117	-0.0346	-0.0226	0.01	-0.5055	
Locus652	11.1314	-0.0256	-0.0115	-0.0213	-0.0512	-0.0292	0.0085	-0.676	
Locus653	11.1314	-0.0417	-0.018	-0.0327	-0.0819	-0.0477	0.0019	-0.8311	
Locus654	11.1314	-0.0206	-0.0086	-0.015	-0.0389	-0.0235	0.0126	-0.6018	
Locus655	11.1314	-0.0494	-0.0179	-0.0289	-0.0869	-0.0564	-0.0047	-0.602	
Locus656	11.1314	-0.0251	-0.0107	-0.019	-0.0482	-0.0287	0.0079	-0.6197	
Locus657	11.1314	-0.0315	-0.0133	-0.0236	-0.0604	-0.036	0.0036	-0.6383	
Locus658	11.1314	0.0053	0.0022	0.0038	0.0098	0.006	0.0393	-0.716	
Locus659	11.1314	-0.0434	-0.0176	-0.0305	-0.0816	-0.0496	-6e-04	-0.7209	
Locus660	11.1314	-0.0345	-0.0152	-0.0279	-0.0685	-0.0394	0.0018	-0.7072	
Locus661	11.1314	-0.0296	-0.0121	-0.0209	-0.0554	-0.0338	0.0076	-0.6569	
Locus662	11.1314	0.0133	0.0055	0.0093	0.0243	0.0151	0.0351	-0.6321	
Locus663	11.1314	-0.0246	-0.0109	-0.02	-0.0486	-0.0281	0.0094	-0.6482	
Locus664	11.1314	-0.0202	-0.0092	-0.0172	-0.0407	-0.0231	0.0146	-0.686	
Locus665	11.1314	-0.0192	-0.0081	-0.0142	-0.0365	-0.0219	0.0164	-0.7701	
Locus666	11.1314	-0.0082	-0.0033	-0.0055	-0.015	-0.0094	0.0246	-0.6024	
Locus667	11.1314	-0.0552	-0.018	-0.0274	-0.0923	-0.0631	-0.0075	-0.531	
Locus668	11.1314	-0.0327	-0.0133	-0.0229	-0.0612	-0.0374	0.0043	-0.6301	
Locus669	11.1314	-0.0329	-0.0147	-0.0273	-0.0659	-0.0376	0.0024	-0.7075	
Locus670	11.1314	-0.0208	-0.0096	-0.0181	-0.0424	-0.0238	0.0135	-0.7004	
Locus671	11.1314	-0.0039	-0.0013	-0.0019	-0.0064	-0.0045	0.0236	-0.4967	
Locus672	11.1314	-0.0293	-0.0109	-0.0177	-0.0518	-0.0335	0.0038	-0.4759	
Locus673	11.1314	-0.0493	-0.017	-0.0266	-0.0845	-0.0564	-0.0034	-0.5735	
Locus674	11.1314	-0.0429	-0.0179	-0.0317	-0.0823	-0.0491	NA	-0.7708	
Locus675	11.1314	-0.0335	-0.0147	-0.0269	-0.0662	-0.0383	0.0014	-0.6776	
Locus676	11.1314	-0.0271	-0.0113	-0.0198	-0.0514	-0.031	0.0099	-0.679	
Locus677	11.1314	0.0344	0.0146	0.0248	0.0631	0.0393	0.0631	-0.6136	
Locus678	11.1314	-0.0647	-0.0215	-0.0333	-0.1097	-0.074	-0.0144	-0.5208	
Locus679	11.1314	-0.0195	-0.007	-0.011	-0.0336	-0.0223	0.0153	-0.5785	
Locus680	11.1314	-0.0181	-0.007	-0.0116	-0.0324	-0.0207	0.0127	-0.5042	
Locus681	11.1314	-0.0423	-0.0174	-0.0305	-0.0803	-0.0483	-0.0027	-0.6913	
Locus682	11.1314	-0.0454	-0.0183	-0.0316	-0.0851	-0.0518	-0.0013	-0.7353	
Locus683	11.1314	-0.0304	-0.0132	-0.0239	-0.0595	-0.0348	0.0088	-0.7584	
Locus684	11.1314	-0.0212	-0.007	-0.0106	-0.0351	-0.0242	0.0127	-0.4779	
Locus685	11.1314	-0.0296	-0.0132	-0.0244	-0.059	-0.0338	0.0061	-0.7072	
Locus686	11.1314	-0.044	-0.0157	-0.025	-0.0766	-0.0503	-5e-04	-0.5816	
Locus687	11.1314	-0.0393	-0.0169	-0.0306	-0.0768	-0.0449	0.0039	-0.8176	
Locus688	11.1314	-0.0412	-0.0182	-0.0337	-0.0824	-0.047	-0.0028	-0.7572	
Locus689	11.1314	-0.036	-0.0119	-0.0181	-0.06	-0.0412	0.0037	-0.522	
Locus690	11.1314	-0.0242	-0.0107	-0.0196	-0.0478	-0.0277	0.0093	-0.6646	
Locus691	11.1314	-0.0541	-0.0189	-0.0299	-0.0936	-0.0619	-0.007	-0.5863	
Locus692	11.1314	-0.0162	-0.0061	-0.0099	-0.0286	-0.0185	0.0176	-0.6279	
Locus693	11.1314	-0.0201	-0.0084	-0.0146	-0.038	-0.023	0.0092	-0.5737	
Locus694	11.1314	-3e-04	-1e-04	-2e-04	-5e-04	-3e-04	0.024	-0.4958	
Locus695	11.1314	-0.0329	-0.0146	-0.027	-0.0656	-0.0376	0.0032	-0.739	
Locus696	11.1314	-0.0353	-0.0123	-0.0192	-0.0604	-0.0404	-8e-04	-0.4768	
Locus697	11.1314	-0.0318	-0.0117	-0.0189	-0.0559	-0.0364	0.0022	-0.4939	
Locus698	11.1314	-0.0404	-0.0178	-0.0329	-0.0805	-0.0462	-0.0017	-0.7733	
Locus699	11.1314	-0.0388	-0.0139	-0.0221	-0.0674	-0.0443	0.0014	-0.5622	
Locus700	11.1314	-0.0229	-0.0098	-0.0174	-0.0441	-0.0262	0.0165	-0.7381	
Locus701	11.1314	-0.0486	-0.0176	-0.0284	-0.0855	-0.0556	-0.0045	-0.5946	
Locus702	11.1314	-0.0383	-0.0135	-0.0213	-0.066	-0.0437	0.0041	-0.5819	
Locus703	11.1314	-0.0457	-0.015	-0.0228	-0.0763	-0.0523	-0.0021	-0.5274	
Locus704	11.1314	-0.0177	-0.006	-0.0092	-0.0296	-0.0203	0.0148	-0.5257	
Locus705	11.1314	-0.0204	-0.0088	-0.0157	-0.0394	-0.0233	0.0208	-0.7979	
Locus706	11.1314	-0.0293	-0.0129	-0.0236	-0.0578	-0.0334	0.0122	-0.8084	
Locus707	11.1314	8e-04	3e-04	5e-04	0.0014	9e-04	0.0319	-0.6371	
Locus708	11.1314	0.0014	5e-04	8e-04	0.0024	0.0016	0.0219	-0.4457	
Locus709	11.1314	-0.0295	-0.0134	-0.0252	-0.0597	-0.0337	0.0061	-0.7844	
Locus710	11.1314	-0.0161	-0.0072	-0.0132	-0.0318	-0.0184	0.0163	-0.6593	
Locus711	11.1314	-0.0276	-0.0123	-0.0227	-0.0549	-0.0315	0.0153	-0.8438	
Locus712	11.1314	-0.044	-0.0163	-0.0266	-0.0782	-0.0503	NA	-0.6392	
Locus713	11.1314	0.0318	0.0113	0.0172	0.0529	0.0363	0.0454	-0.5248	
Locus714	11.1314	-0.0471	-0.0175	-0.0287	-0.084	-0.0538	-0.0056	-0.5962	
Locus715	11.1314	-0.0377	-0.0162	-0.0292	-0.0736	-0.0431	0.0051	-0.8154	
Locus716	11.1314	-0.0401	-0.0174	-0.0317	-0.079	-0.0458	-8e-04	-0.7619	
Locus717	11.1314	-0.0286	-0.0121	-0.0214	-0.0548	-0.0326	0.0095	-0.7093	
Locus718	11.1314	-0.0232	-0.0101	-0.0182	-0.0452	-0.0265	0.0172	-0.7808	
Locus719	11.1314	-0.0417	-0.0146	-0.023	-0.0717	-0.0476	-0.0017	-0.5293	
Locus720	11.1314	0.0361	0.0147	0.0242	0.0645	0.0413	0.0563	-0.6104	
Locus721	11.1314	-5e-04	-2e-04	-3e-04	-9e-04	-5e-04	0.026	-0.5582	
Locus722	11.1314	-0.0248	-0.0106	-0.0188	-0.0478	-0.0284	0.0068	-0.5997	
Locus723	11.1314	-0.0341	-0.0135	-0.0229	-0.0627	-0.0389	-2e-04	-0.5454	
Locus724	11.1314	-0.029	-0.0128	-0.0235	-0.0574	-0.0331	0.011	-0.8075	
Locus725	11.1314	-0.0293	-0.013	-0.0239	-0.0582	-0.0334	0.0052	-0.6913	
Locus726	11.1314	-0.0485	-0.0189	-0.0319	-0.0892	-0.0555	-0.0044	-0.6815	
Locus727	11.1314	-0.001	-4e-04	-6e-04	-0.0018	-0.0012	0.0222	-0.4793	
Locus728	11.1314	-0.0456	-0.0182	-0.0312	-0.085	-0.0521	-0.0042	-0.6699	
Locus729	11.1314	-0.0037	-0.0016	-0.0028	-0.0071	-0.0043	0.0261	-0.6142	
Locus730	11.1314	-0.0364	-0.0123	-0.0189	-0.0613	-0.0416	0.0037	-0.5446	
Locus731	11.1314	-0.0484	-0.0195	-0.0337	-0.091	-0.0554	-0.0044	-0.736	
Locus732	11.1314	0.0154	0.0056	0.0087	0.0262	0.0176	0.036	-0.554	
Locus733	11.1314	-0.0337	-0.0145	-0.0261	-0.0656	-0.0385	0.0041	-0.7198	
Locus734	11.1314	-0.0445	-0.0185	-0.0327	-0.0852	-0.0508	-0.0051	-0.6983	
Locus735	11.1314	-0.0297	-0.0106	-0.0168	-0.0513	-0.034	0.0025	-0.458	
Locus736	11.1314	-0.0375	-0.0154	-0.0268	-0.0709	-0.0429	0.0057	-0.7476	
Locus737	11.1314	-0.0416	-0.0183	-0.0338	-0.0829	-0.0475	-0.0014	-0.7902	
Locus738	11.1314	-0.0553	-0.0184	-0.0284	-0.0934	-0.0632	-0.0065	-0.5474	
Locus739	11.1314	-0.0252	-0.011	-0.0199	-0.0493	-0.0288	0.0102	-0.6848	
Locus740	11.1314	-0.0018	-7e-04	-0.0012	-0.0032	-0.002	0.0303	-0.642	
Locus741	11.1314	-0.0462	-0.0147	-0.022	-0.076	-0.0528	-0.0016	-0.503	
Locus742	11.1314	-0.0328	-0.0128	-0.0215	-0.0597	-0.0374	5e-04	-0.5386	
Locus743	11.1314	-0.0524	-0.0179	-0.0279	-0.0895	-0.0599	-0.0052	-0.5656	
Locus744	11.1314	-0.0476	-0.0179	-0.0295	-0.0856	-0.0545	-0.0064	-0.5829	
Locus745	11.1314	-2e-04	-1e-04	-2e-04	-4e-04	-3e-04	0.0325	-0.6757	
Locus746	11.1314	-0.0169	-0.0073	-0.013	-0.0326	-0.0193	0.021	-0.7598	
Locus747	11.1314	-0.0207	-0.0073	-0.0114	-0.0353	-0.0236	0.0142	-0.5681	
Locus748	11.1314	-0.0114	-0.0038	-0.0057	-0.0188	-0.013	0.0191	-0.5095	
Locus749	11.1314	0.0372	0.0147	0.0237	0.0652	0.0425	0.05	-0.5081	
Locus750	11.1314	-0.0369	-0.015	-0.0259	-0.0692	-0.0422	0.0046	-0.7091	
Locus751	11.1314	-0.0395	-0.0178	-0.0335	-0.0801	-0.0451	-0.0037	-0.7364	
Locus752	11.1314	-0.0618	-0.0196	-0.0295	-0.1023	-0.0707	-0.0119	-0.4958	
Locus753	11.1314	-0.0304	-0.0107	-0.0168	-0.0521	-0.0348	0.0029	-0.4843	
Locus754	11.1314	-0.0242	-0.0099	-0.017	-0.0452	-0.0277	0.0106	-0.6397	
Locus755	11.1314	-0.0436	-0.0189	-0.0345	-0.0861	-0.0498	-7e-04	-0.8316	
Locus756	11.1314	-0.0424	-0.0137	-0.0207	-0.0701	-0.0484	9e-04	-0.5113	
Locus757	11.1314	-0.0533	-0.0196	-0.032	-0.0948	-0.0609	-0.0074	-0.6192	
Locus758	11.1314	-0.0482	-0.0155	-0.0234	-0.0798	-0.0551	-0.0028	-0.5121	
Locus759	11.1314	-0.017	-0.0063	-0.0101	-0.0297	-0.0194	0.0161	-0.5497	
Locus760	11.1314	-0.0301	-0.0102	-0.0157	-0.0506	-0.0344	0.0062	-0.5084	
Locus761	11.1314	-0.0286	-0.0107	-0.0174	-0.0507	-0.0327	0.0109	-0.6257	
Locus762	11.1314	-0.0426	-0.0163	-0.0271	-0.0771	-0.0487	-4e-04	-0.651	
Locus763	11.1314	-0.0146	-0.0058	-0.0097	-0.0266	-0.0167	0.02	-0.6713	
Locus764	11.1314	-0.0304	-0.012	-0.0202	-0.0557	-0.0347	0.0084	-0.6505	
Locus765	11.1314	-0.0441	-0.018	-0.0314	-0.0834	-0.0504	-0.0022	-0.7129	
Locus766	11.1314	-0.0163	-0.0067	-0.0115	-0.0304	-0.0186	0.0192	-0.6573	
Locus767	11.1314	-0.0432	-0.0167	-0.028	-0.0788	-0.0494	-0.004	-0.5887	
Locus768	11.1314	-0.0451	-0.0187	-0.033	-0.0863	-0.0516	-0.0024	-0.7588	
Locus769	11.1314	-0.0161	-0.0063	-0.0104	-0.0291	-0.0184	0.0208	-0.6618	
Locus770	11.1314	-0.0265	-0.0094	-0.0148	-0.0455	-0.0303	0.0048	-0.4556	
Locus771	11.1314	-0.0039	-0.0014	-0.0022	-0.0066	-0.0044	0.0253	-0.5661	
Locus772	11.1314	-0.0401	-0.0167	-0.0295	-0.0766	-0.0458	-0.003	-0.6525	
Locus773	11.1314	0.0174	0.0066	0.0105	0.0302	0.0199	0.0339	-0.4781	
Locus774	11.1314	-0.0292	-0.0135	-0.0258	-0.06	-0.0333	0.0068	-0.7654	
Locus775	11.1314	-0.0101	-0.0038	-0.0061	-0.0178	-0.0116	0.0189	-0.5246	
Locus776	11.1314	-0.0524	-0.0174	-0.0268	-0.0882	-0.0599	-0.0056	-0.5234	
Locus777	11.1314	-0.0303	-0.014	-0.0267	-0.0623	-0.0347	0.0068	-0.7826	
Locus778	11.1314	-0.0325	-0.0131	-0.0225	-0.0604	-0.0371	0.0088	-0.7221	
Locus779	11.1314	-0.0437	-0.0185	-0.0331	-0.0848	-0.05	-0.0079	-0.6432	
Locus780	11.1314	-0.0342	-0.0146	-0.0261	-0.0663	-0.0391	0.0057	-0.7622	
Locus781	11.1314	-0.0374	-0.014	-0.0229	-0.0666	-0.0428	7e-04	-0.5893	
Locus782	11.1314	-0.0381	-0.0163	-0.0293	-0.0742	-0.0436	0.0034	-0.7821	
Locus783	11.1314	-0.016	-0.0062	-0.0102	-0.0287	-0.0183	0.0179	-0.6195	
Locus784	11.1314	-0.018	-0.0062	-0.0095	-0.0303	-0.0206	0.015	-0.5386	
Locus785	11.1314	-0.031	-0.0114	-0.0183	-0.0545	-0.0355	0.008	-0.6129	
Locus786	11.1314	-0.0414	-0.016	-0.0268	-0.0753	-0.0473	-0.005	-0.5541	
Locus787	11.1314	-0.0367	-0.0159	-0.0288	-0.072	-0.042	0.005	-0.7949	
Locus788	11.1314	-0.0138	-0.0053	-0.0087	-0.0246	-0.0158	0.0152	-0.5263	
Locus789	11.1314	-0.0422	-0.0183	-0.0334	-0.0832	-0.0482	1e-04	-0.813	
Locus790	11.1314	0.0319	0.0116	0.0179	0.0537	0.0365	0.0478	-0.4885	
Locus791	11.1314	-0.0367	-0.016	-0.0292	-0.0724	-0.0419	0.0053	-0.8098	
Locus792	11.1314	0.0098	0.0036	0.0057	0.0168	0.0112	0.0331	-0.5192	
Locus793	11.1314	-0.0637	-0.0202	-0.0305	-0.1055	-0.0728	-0.0121	-0.4986	
Locus794	11.1314	-0.0378	-0.017	-0.0319	-0.0764	-0.0432	0.0035	-0.8403	
Locus795	11.1314	-0.0225	-0.0095	-0.0167	-0.0429	-0.0257	0.0143	-0.7339	
Locus796	11.1314	-0.046	-0.0175	-0.0291	-0.0831	-0.0525	-0.008	-0.5414	
Locus797	11.1314	-0.0439	-0.016	-0.0258	-0.0773	-0.0501	-0.001	-0.5975	
Locus798	11.1314	-0.0261	-0.0115	-0.021	-0.0515	-0.0299	0.0067	-0.6924	
Locus799	11.1314	-0.0102	-0.0042	-0.0072	-0.0189	-0.0117	0.0223	-0.6345	
Locus800	11.1314	-0.0134	-0.0044	-0.0066	-0.022	-0.0154	0.0165	-0.4973	
Locus801	11.1314	-0.0418	-0.0156	-0.0255	-0.0745	-0.0477	-0.0017	-0.6221	
Locus802	11.1314	-3e-04	-1e-04	-2e-04	-5e-04	-3e-04	0.0241	-0.4799	
Locus803	11.1314	-0.0211	-0.0077	-0.0123	-0.0367	-0.0241	0.0137	-0.5696	
Locus804	11.1314	-0.0304	-0.0128	-0.0226	-0.0581	-0.0347	0.0038	-0.6439	
Locus805	11.1314	-0.0368	-0.0164	-0.0305	-0.0738	-0.0421	-4e-04	-0.7387	
Locus806	11.1314	-0.0303	-0.0115	-0.0189	-0.0542	-0.0347	0.008	-0.6119	
Locus807	11.1314	-0.0256	-0.011	-0.0197	-0.0495	-0.0292	0.0142	-0.7815	
Locus808	11.1314	-0.035	-0.0121	-0.0189	-0.0596	-0.04	0.0039	-0.5598	
Locus809	11.1314	-0.0018	-6e-04	-9e-04	-0.0029	-0.002	0.0242	-0.4898	
Locus810	11.1314	-0.0165	-0.007	-0.0123	-0.0314	-0.0189	0.0229	-0.7393	
Locus811	11.1314	-0.0027	-0.0012	-0.0021	-0.0053	-0.0031	0.033	-0.7415	
Locus812	11.1314	-0.0315	-0.012	-0.0198	-0.0565	-0.036	0.0094	-0.653	
Locus813	11.1314	-0.0436	-0.018	-0.0316	-0.083	-0.0498	3e-04	-0.7608	
Locus814	11.1314	-0.0472	-0.0171	-0.0276	-0.083	-0.0539	-0.0041	-0.5815	
Locus815	11.1314	-0.0354	-0.0158	-0.0294	-0.071	-0.0405	0.0069	-0.8427	
Locus816	11.1314	0.0247	0.0086	0.013	0.0409	0.0282	0.041	-0.4901	
Locus817	11.1314	-0.0336	-0.0144	-0.0259	-0.0652	-0.0384	0.0045	-0.7282	
